code	alternate_title
11-1011.00	["Aeronautics Commission Director","Agricultural Services Director","Arts and Humanities Council Director","Bank President","Bureau Chief","Business Development Executive","Business Executive","Chief Administrative Officer","Chief Diversity Officer (CDO)","Chief Executive Officer (CEO)","Chief Financial Officer (CFO)","Chief Information Officer (CIO)","Chief Innovation Officer","Chief Nursing Officer","Chief Operating Officer (COO)","Chief Technical Officer (CTO)","Chief Warden","City Administrator","City Manager","City Superintendent","Classification and Treatment Director","Commissioner of Internal Revenue","Consumer Affairs Director","Corporate Executive","Correctional Agency Director","Council On Aging Director","Deputy District Customs Director","Deputy Insurance Commissioner","Director of Technology","Director of Vital Statistics","District Customs Director","Employment Research and Planning Director","Employment Services Director","Executive Cyber Leader","Executive Director","Executive Officer","Executive Vice President (EVP)","Field Representatives Director","Finance Vice President","Financial Institution President","Financial Responsibility Division Director","Fishery Division Chief","Foundation Director","Government Service Executive","Health Commissioner","Highway Commissioner","Institution Director","Insurance Commissioner","Labor Commissioner","Labor Standards Director","Law Enforcement Director","Licensing and Registration Director","Liquor Commissioner","Liquor Stores and Agencies Supervisor","Media Executive","Medical Facilities Section Director","Music Executive","Nonprofit Director","Operations Vice President","Park Superintendent","Prison Warden","Private Sector Executive","Public Health Director","Public Works Commissioner","Public Works Director","Railroad Commissioner","Recreation Superintendent","Regulatory Agency Director","Relocation Commissioner","Revenue Director","Road Commissioner","Safety Council Director","School Commissioner","State Assessed Properties Director","State Superintendent of Public Instruction","State Superintendent of Schools","Tax Commissioner","Translation Director","U.S. Commissioner","Unemployment Insurance Director","Water Commissioner","Welfare Director"]
11-1011.03	["Chief Environmental Commitment Officer (CECO)","Chief Green Officer (CGO)","Corporate Sustainability Manager","Corporate Sustainability Process Manager","Director of Sustainability","Director of Sustainability Programs","Director of Sustainable Design","Energy and Sustainability Manager","Energy Sustainability Manager","Environmental and Sustainability Manager","Environmental Sustainability Manager","Global Sustainability Manager","Strategy Sustainability Manager","Sustainability Director","Sustainability Energy Manager","Sustainability Executive Director","Sustainability Manager","Sustainability Program Manager","Sustainability Reports Director","Sustainability Reports Manager","Sustainability Research and Advocacy Director","Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)"]
11-1021.00	["Building Manager","Business Manager","Chief Administrative Officer","Corporate Administrator","Corporate Manager","Department Store General Manager","Department Store Manager","District Commercial Superintendent","District Manager","District Plant Superintendent","District Traffic Chief","District Wire Chief","Division Toll Wire Chief","Division Traffic Superintendent","Drilling and Production Superintendent","Electrical Superintendent","Equipment Maintenance Superintendent","Field Party Manager","Fish and Game Club Manager","Fitness Manager","General Manager (GM)","General Superintendent","Golf Course Manager","Gym Manager","Head of Store Operations","Head of Visual Merchandising","Industrial Organization Manager","Installation Superintendent","Laundry Superintendent","Line Construction Superintendent","Mine Administrator Supervisor","Mine Superintendent","Movie Theater Manager","Newspaper Manager","Nonprofit Manager","Office Manager","Offshoring Manager","Operations Administrator","Operations Coordinator","Operations Director","Operations Manager","Operations Supervisor","Operations Vice President","Park Superintendent","Parks and Recreation Manager","Plant Superintendent","Plant Supervisor","Print Production Manager","Printing Manager","Prison Warden","Program Manager","Public Works Director","Publication Director","Radio Station Manager","Refinery Superintendent","Relocation Commissioner","Revenue Director","Revenue Manager","Roads Superintendent","Salon Manager","Shelter Director","Shift Superintendent","Shop Superintendent","Site Operations Manager","Social Insurance Administrator","Solid Waste Manager","Sports Team Manager","Store Director","Store Manager","Street Commissioner","Street Superintendent","Substation Superintendent","Television Station Manager","Theatre Manager","Venue Manager","Water and Sewer Systems Supervisor","Water Control Supervisor","Water Superintendent","Waterworks Supervisor","Zoo Director"]
11-1031.00	["Alderman","Assembly Member","Assembly Person","Assemblyman","Assemblywoman","City Alderman","City Council Member","City Councilman","Congress Member","Congressional Representative","Congressman","Congresswoman","Council Member","Councilman","Councilor","Councilperson","Councilwoman","Delegate","Legislator","Member of Congress","Representative","Selectman","Senator","Tribal Council Member","Tribal Delegate","U.S. Representative (United States Representative)","U.S. Senator (United States Senator)"]
11-2011.00	["Account Director","Account Executive","Account Manager","Account Specialist","Advertising Account Executive (Ad Account Executive)","Advertising Account Manager (Ad Account Manager)","Advertising Agency Manager (Ad Agency Manager)","Advertising Campaign Manager (Ad Campaign Manager)","Advertising Coordinator (Ad Coordinator)","Advertising Director (Ad Director)","Advertising Executive (Ad Executive)","Advertising Manager (Ad Manager)","Advertising Operations Manager (Ad Operations Manager)","Advertising Sales Manager (Ad Sales Manager)","Brand Manager","Campaign Director","Campaign Manager","Circulation Manager","Classified Advertising Manager (Classified Ad Manager)","Client Services Director","Communications Director","Communications Manager","Creative Services Director","Digital Advertising Manager (Digital Ad Manager)","Marketing and Promotions Manager","Marketing Coordinator","Marketing Director","Marketing Manager","Media Director","Media Promoter","Online Advertising Director","Print Traffic Manager","Promotions Director","Promotions Executive Producer (Promos Executive Producer)","Promotions Manager","Promotions Vice President","Sales Promotion Manager"]
11-2021.00	["Account Supervisor","Brand Manager","Business Developer","Business Development Director","Business Development Manager","Category Manager","Channel Manager","Commercial Director","Commercial Lines Manager","Digital Marketing Manager","Fashion Coordinator","Fashion Marketer","Head of Marketing","Internet Marketing Manager","Market Analysis Director","Market Development Executive","Market Research Manager","Marketing Administrator","Marketing Communications Manager","Marketing Coordinator","Marketing Director","Marketing Executive","Marketing Manager","Marketing Operations Director","Marketing Sales Supervisor","Media Marketing Director","Membership Director","Pricing Manager","Product Line Manager (PLM)","Product Manager","Product Marketing Manager","Sales and Marketing Director","Sales and Marketing Manager","Sales and Marketing Vice President","Sales Marketing Director","Sustainable Products Marketing Manager","VP Marketing","World Trade and Maritime Division Manager"]
11-2022.00	["Account Manager","Area Sales Manager","Artist Relationship Manager","Business Development Director","Business Development Executive","Business Development Manager","Channel Manager","Client Relationship Manager","Commercial Director","Dealership Manager","Department Store Manager","District Manager","District Sales Manager","Division Manager","E-Commerce Director","Export Manager","Global Account Manager (GAM)","Hotel Sales Manager","Import Export Manager","Inside Sales Manager","Marketing Sales Supervisor","National Account Manager","National Sales Manager","Professional Equipment Sales and Service Manager","Regional Director","Regional Manager","Regional Sales Director","Regional Sales Manager","Retail Chain Store Area Supervisor","Retail District Manager","Sales Account Manager","Sales Administrator","Sales and Marketing Director","Sales and Marketing Manager","Sales and Marketing Vice President","Sales Coordinator","Sales Director","Sales Manager","Sales Promotion Manager","Sales Supervisor","Sales Vice President","Store Manager","Territory Manager","Territory Sales Manager","Utility Sales and Service Manager","Vehicle Leasing and Rental Manager","Zone Manager","Global Partner Leader"]
11-2032.00	["Business Development Director","Campaign Manager","Communications Director","Communications Manager","Community Manager","Community Relations Director","Customer Service Manager","Development Director","Information Director","Marketing Communications Manager","Public Affairs Director","Public Information Director","Public Information Relations Manager","Public Relations Director (PR Director)","Public Relations Manager (PR Manager)","Public Relations Supervisor (PR Supervisor)","Publicity Director","Publicity Manager","Relationship Manager","University Relations Director"]
11-2033.00	["Account Manager","Account Supervisor","Annual Giving Director","Business Development Director","Campaign Manager","Community Manager","Development Director","Fundraising Director","Fundraising Manager","Funds Development Director","Major Gifts Officer (MGO)","Underwriter Solicitation Director","University Relations Director"]
11-3012.00	["Administrative Coordinator","Administrative Director","Administrative Manager","Administrative Officer","Administrative Services Manager","Administrator","Business Administrator","Business Coordinator","Business Manager","Business Office Manager","Business Unit Manager","Operations Administrator","Records and Information Manager","Records Management Director","Service Director"]
